City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
0,Utrecht,NL,2020-02-24 05:52:38,52.0,5.25,43.0,86,90,6.93,overcast clouds,0.0,0.0
1,Neiafu,TO,2020-02-24 05:55:24,-18.65,-173.98,84.2,79,20,9.17,few clouds,0.0,0.0
2,Klaksvik,FO,2020-02-24 05:55:25,62.23,-6.59,39.2,69,80,17.22,light snow,0.0,0.014960629921259844
3,Aklavik,CA,2020-02-24 05:55:25,68.22,-135.01,-4.0,76,90,2.24,light snow,0.0,0.0
4,Quesnel,CA,2020-02-24 05:55:25,53.0,-122.5,28.4,100,90,3.36,mist,0.0,0.0
5,Georgetown,MY,2020-02-24 05:55:12,5.41,100.34,89.6,55,20,10.29,few clouds,0.0,0.0
6,Busselton,AU,2020-02-24 05:55:25,-33.65,115.33,77.0,36,99,13.78,overcast clouds,0.0,0.0
7,Bairiki,KI,2020-02-24 05:55:26,1.33,172.98,87.8,74,20,6.93,few clouds,0.0,0.0
8,Porto Novo,BJ,2020-02-24 05:55:26,6.5,2.6,84.2,89,40,6.93,scattered clouds,0.0,0.0
9,Santo Anastacio,BR,2020-02-24 05:52:09,-21.84,-51.61,73.4,69,75,10.29,broken clouds,0.0,0.0
10,Rikitea,PF,2020-02-24 05:55:26,-23.12,-134.97,79.81,71,7,6.71,clear sky,0.0,0.0
11,Avarua,CK,2020-02-24 05:55:26,-21.21,-159.78,78.8,94,100,3.36,light rain,0.007480314960629922,0.0
12,Norman Wells,CA,2020-02-24 05:55:27,65.28,-126.83,1.4,84,75,4.7,light snow,0.0,0.0
13,Kuytun,RU,2020-02-24 05:55:27,54.34,101.5,14.7,89,79,4.03,broken clouds,0.0,0.0
14,Ushuaia,AR,2020-02-24 05:55:27,-54.8,-68.3,42.8,70,90,20.8,light rain,0.0,0.0
15,Mataura,NZ,2020-02-24 05:55:27,-46.19,168.86,62.92,70,6,6.62,clear sky,0.0,0.0
