City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
11,Avarua,CK,78.8,light rain,-21.21,-159.78,Paradise Inn
44,Butaritari,KI,82.06,moderate rain,3.07,172.79,Isles Sunset Lodge
91,Pemangkat,ID,84.88,light rain,1.17,108.97,Kost H.Syamsuddin
101,Salinopolis,BR,81.63,light rain,-0.61,-47.36,Hotel Salinópolis
117,Faanui,PF,83.3,light rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
155,Kribi,CM,79.0,light rain,2.95,9.92,Les Vagues bleues
190,Pandan,PH,81.77,light rain,14.05,124.17,Bonifacio Lodge
193,Kindu,CD,72.32,light rain,-2.95,25.95,Hotel Karibu
203,Dingle,PH,84.43,light rain,11.0,122.67,Camp Pasica
208,Geraldton,AU,84.2,light rain,-28.77,114.6,Broadwater Mariner Resort
209,Tsiroanomandidy,MG,75.18,light rain,-18.77,46.03,
214,Tonantins,BR,73.33,moderate rain,-2.87,-67.8,Hotel Rei Davi
234,Maragogi,BR,81.66,light rain,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
251,Carutapera,BR,81.79,light rain,-1.2,-46.02,Lidera
294,Tuy Hoa,VN,73.33,light rain,13.08,109.3,CenDeluxe Hotel Tuy Hoa
321,Labuhan,ID,85.53,moderate rain,-6.88,112.21,bador sepret
335,Iracoubo,GF,78.26,light rain,5.48,-53.2,
342,Thinadhoo,MV,83.32,light rain,0.53,72.93,
353,Wanning,CN,76.21,light rain,18.8,110.4,Paradise Hotel
359,Pauini,BR,72.23,light rain,-7.71,-66.98,Casa do Kiwliks
367,Sinnamary,GF,78.26,light rain,5.38,-52.95,ALETHEIA Appartement Sinnamary
378,Berekua,DM,78.48,light rain,15.23,-61.32,CarRod's Cottages
395,Nouadhibou,MR,73.4,light rain,20.93,-17.03,El Medina
397,Bambanglipuro,ID,87.37,moderate rain,-7.95,110.28,Puri Brata
421,Lamu,KE,82.67,light rain,-2.27,40.9,Lamu House
427,Soure,BR,77.32,light rain,-0.72,-48.52,Hotel Casarão Amazônia
445,Merauke,ID,87.49,light rain,-8.47,140.33,
446,Acarau,BR,74.73,light rain,-2.89,-40.12,castelo pizzaria
480,Buala,SB,84.47,light rain,-8.14,159.59,Maringe Lagoon Lodge
483,Prigen,ID,85.96,light rain,-7.68,112.62,Royal Trawas Hotel & Cottages
491,Metro,ID,88.9,light rain,-5.11,105.31,Hotel Familie2
513,Airai,TL,79.25,light rain,-8.93,125.41,Juvinal Martin
514,Mbanza-Ngungu,CD,71.33,moderate rain,-5.25,14.87,Hotel Full Business
515,Gondanglegi,ID,87.31,moderate rain,-7.75,112.01,Gg. Munasir Homestay
528,Namatanai,PG,85.48,light rain,-3.67,152.43,Namatanai Hotel
538,Caravelas,BR,79.77,moderate rain,-17.71,-39.25,Pousada dos Navegantes
555,Ugoofaaru,MV,83.07,light rain,5.67,73.0,Ungoofaaru Inn
565,Finschhafen,PG,83.43,light rain,-6.6,147.87,Cossam Guest House
