City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Albany,US,2020-02-24 01:05:03,42.6,-73.97,37.4,40,1,3.04
1,Bougouni,ML,2020-02-24 01:07:15,11.42,-7.48,77.41,17,60,2.59
2,Butaritari,KI,2020-02-24 01:07:15,3.07,172.79,85.03,76,68,16.37
3,Atar,MR,2020-02-24 01:07:15,20.52,-13.05,82.81,15,100,10.38
4,Kota Tinggi,MY,2020-02-24 01:07:15,1.74,103.9,82.0,83,75,4.7
5,Hirara,JP,2020-02-24 01:07:15,24.8,125.28,69.8,68,75,6.93
6,Kotma,IN,2020-02-24 01:07:16,23.2,81.97,60.49,91,2,2.48
7,Georgetown,MY,2020-02-24 01:07:16,5.41,100.34,80.6,69,20,4.7
8,Sao Joao Da Barra,BR,2020-02-24 01:07:16,-21.64,-41.05,75.2,73,100,7.14
9,Lebu,CL,2020-02-24 01:07:16,-37.62,-73.65,56.97,80,6,6.58
10,Dukat,RU,2020-02-24 01:07:17,62.55,155.55,-11.51,96,62,0.47
11,Chuy,UY,2020-02-24 01:07:17,-33.7,-53.46,65.3,71,11,10.89
12,Atambua,ID,2020-02-24 01:07:17,-9.11,124.89,80.92,78,21,1.23
13,Rikitea,PF,2020-02-24 01:07:17,-23.12,-134.97,79.97,69,0,9.17
14,Waingapu,ID,2020-02-24 01:07:18,-9.66,120.26,83.86,76,97,15.03
15,Barrow,US,2020-02-24 01:04:56,71.29,-156.79,-22.0,67,1,12.75
16,Siemiatycze,PL,2020-02-24 01:07:18,52.43,22.86,34.0,82,99,1.01
17,Ponta Do Sol,PT,2020-02-24 01:07:18,32.67,-17.1,66.99,48,20,18.34
18,Puerto Ayora,EC,2020-02-24 01:07:18,-0.74,-90.35,82.4,78,75,9.17
19,Cape Town,ZA,2020-02-24 01:06:03,-33.93,18.42,64.4,55,0,14.99
20,Ahvaz,IR,2020-02-24 01:07:19,31.32,48.67,62.6,72,100,2.24
21,Hobart,AU,2020-02-24 01:05:01,-42.88,147.33,71.01,59,75,4.7
22,Okha,RU,2020-02-24 01:07:12,53.57,142.95,1.2,95,41,8.93
23,Victoria,HK,2020-02-24 01:06:27,22.29,114.16,69.01,72,20,23.04
24,Kavaratti,IN,2020-02-24 01:07:19,10.57,72.64,81.23,73,100,4.05
25,Busselton,AU,2020-02-24 01:07:20,-33.65,115.33,70.0,76,63,5.01
26,Hobyo,SO,2020-02-24 01:07:20,5.35,48.53,76.55,75,77,14.29
27,Vanimo,PG,2020-02-24 01:07:20,-2.67,141.3,81.86,77,56,6.87
28,Glasgow,GB,2020-02-24 01:07:20,55.87,-4.26,41.0,100,40,4.7
29,College,US,2020-02-24 01:03:01,64.86,-147.8,1.99,70,20,4.7
30,Mahebourg,MU,2020-02-24 01:07:21,-20.41,57.7,73.99,76,21,1.01
31,Kaitangata,NZ,2020-02-24 01:07:21,-46.28,169.85,64.0,63,88,10.0
32,Kirakira,SB,2020-02-24 01:07:21,-10.45,161.92,84.96,70,16,7.2
33,Atuona,PF,2020-02-24 01:07:21,-9.8,-139.03,81.37,76,20,11.83
34,Bauchi,NG,2020-02-24 01:07:22,10.5,10.0,69.33,19,0,6.98
35,Sapa,PH,2020-02-24 01:07:22,5.15,120.32,81.16,79,12,11.88
36,Severo-Kurilsk,RU,2020-02-24 01:07:22,50.68,156.12,26.06,97,100,38.43
37,East London,ZA,2020-02-24 01:03:01,-33.02,27.91,65.5,62,80,0.63
38,Talnakh,RU,2020-02-24 01:07:23,69.49,88.4,17.6,92,90,33.55
39,Moose Factory,CA,2020-02-24 01:07:23,51.26,-80.61,17.6,72,90,5.82
40,Oksfjord,NO,2020-02-24 01:07:23,70.24,22.35,32.0,97,75,16.11
41,Sabang,ID,2020-02-24 01:07:23,5.89,95.32,82.22,77,22,25.14
42,Mo I Rana,NO,2020-02-24 01:07:23,66.31,14.14,23.0,90,100,8.01
43,Fairbanks,US,2020-02-24 01:05:47,64.84,-147.72,0.0,70,20,4.7
44,Hermanus,ZA,2020-02-24 01:07:24,-34.42,19.23,63.0,76,0,11.99
45,Punta Arenas,CL,2020-02-24 01:06:30,-53.15,-70.92,46.4,70,75,34.45
46,Lavrentiya,RU,2020-02-24 01:07:24,65.58,-171.0,-4.92,77,0,5.3
47,Yellowknife,CA,2020-02-24 01:07:24,62.46,-114.35,-4.0,64,20,4.7
48,Eenhana,NA,2020-02-24 01:07:24,-17.47,16.33,78.8,69,66,6.93
49,Bredasdorp,ZA,2020-02-24 01:07:25,-34.53,20.04,62.01,81,0,4.7
50,Saint-Philippe,RE,2020-02-24 01:07:25,-21.36,55.77,75.2,69,2,8.05
51,Erenhot,CN,2020-02-24 01:07:25,43.65,111.98,19.89,83,66,14.65
52,Ushuaia,AR,2020-02-24 01:03:20,-54.8,-68.3,44.6,70,40,24.16
53,Nanortalik,GL,2020-02-24 01:07:26,60.14,-45.24,27.09,90,100,5.53
54,Vostok,RU,2020-02-24 01:07:26,46.49,135.88,15.57,87,100,1.95
55,Qaanaaq,GL,2020-02-24 01:07:26,77.48,-69.36,-19.1,61,0,5.77
56,Bo Rai,TH,2020-02-24 01:07:26,12.57,102.54,86.0,94,43,2.24
57,Belyy Yar,RU,2020-02-24 01:07:26,53.6,91.39,14.0,85,40,2.24
58,Krasnoselkup,RU,2020-02-24 01:07:27,65.7,82.47,24.87,88,100,21.65
59,Chimbote,PE,2020-02-24 01:07:27,-9.09,-78.58,77.85,63,94,5.7
60,Khatanga,RU,2020-02-24 01:07:27,71.97,102.5,17.06,91,99,16.58
61,Castro,BR,2020-02-24 01:07:27,-24.79,-50.01,60.91,84,89,8.34
62,Tiksi,RU,2020-02-24 01:07:27,71.69,128.87,-8.05,87,99,7.07
63,Burnie,AU,2020-02-24 01:07:28,-41.07,145.92,68.0,71,100,4.0
64,Agua Verde,MX,2020-02-24 01:07:28,22.9,-106.05,80.6,47,40,9.17
65,Ocu,JP,2020-02-24 01:07:28,35.0,135.87,50.0,70,0,3.4
66,Ahipara,NZ,2020-02-24 01:07:28,-35.17,173.17,67.46,70,0,23.38
67,Bluff,NZ,2020-02-24 01:05:40,-46.6,168.33,65.21,53,71,4.92
68,Tuktoyaktuk,CA,2020-02-24 01:07:29,69.45,-133.04,-5.8,76,75,12.75
69,Hithadhoo,MV,2020-02-24 01:07:29,-0.6,73.08,83.59,76,83,13.15
70,Umm Lajj,SA,2020-02-24 01:07:29,25.02,37.27,60.4,46,100,5.1
71,Pevek,RU,2020-02-24 01:07:29,69.7,170.31,-15.54,98,100,9.42
72,Chokurdakh,RU,2020-02-24 01:07:30,70.63,147.92,-23.48,98,82,3.11
73,Ossora,RU,2020-02-24 01:07:30,59.24,163.07,5.52,92,100,7.34
74,Dikson,RU,2020-02-24 01:07:30,73.51,80.55,24.75,91,100,28.34
75,Hervey Bay,AU,2020-02-24 01:07:30,-25.3,152.85,82.0,88,90,6.93
76,Bengkulu,ID,2020-02-24 01:07:15,-3.8,102.27,74.48,85,2,5.06
77,Mataura,NZ,2020-02-24 01:07:31,-46.19,168.86,67.1,62,82,1.19
78,Cabo San Lucas,MX,2020-02-24 01:05:51,22.89,-109.91,75.2,73,40,5.82
79,Petropavlovsk-Kamchatskiy,RU,2020-02-24 01:04:19,53.05,158.65,30.2,50,40,11.18
80,Ilulissat,GL,2020-02-24 01:07:31,69.22,-51.1,1.4,70,54,8.05
81,Egvekinot,RU,2020-02-24 01:07:32,66.32,-179.17,-23.17,89,0,3.04
82,Yerbogachen,RU,2020-02-24 01:07:32,61.28,108.01,15.89,90,100,11.99
83,Sheltozero,RU,2020-02-24 01:07:32,61.37,35.37,33.35,94,100,12.26
84,Jhinjhak,IN,2020-02-24 01:07:32,26.57,79.73,59.77,76,0,4.81
85,Karratha,AU,2020-02-24 01:07:32,-20.74,116.85,81.79,69,37,14.23
86,Port Elizabeth,ZA,2020-02-24 01:03:59,-33.92,25.57,51.8,93,19,2.24
87,Saint-Leu,RE,2020-02-24 01:07:33,-21.15,55.28,75.2,69,67,8.05
88,Vardo,NO,2020-02-24 01:07:33,70.37,31.11,28.4,79,75,4.7
89,Samarai,PG,2020-02-24 01:07:33,-10.62,150.67,84.56,73,58,3.36
90,Ramhormoz,IR,2020-02-24 01:07:16,31.28,49.6,67.66,47,95,6.15
91,Constitucion,CL,2020-02-24 01:07:34,-35.33,-72.42,56.73,90,79,7.87
92,Prainha,BR,2020-02-24 01:07:34,-1.8,-53.48,76.17,94,100,1.57
93,Mecca,SA,2020-02-24 01:07:34,21.43,39.83,69.66,63,100,2.68
94,Kendari,ID,2020-02-24 01:07:35,-3.94,122.5,79.54,92,100,1.86
95,Souillac,MU,2020-02-24 01:07:35,-20.52,57.52,73.99,76,21,1.01
96,Bilibino,RU,2020-02-24 01:07:35,68.05,166.44,-23.1,90,22,2.19
97,Grass Valley,US,2020-02-24 01:07:35,39.22,-121.06,66.0,66,1,3.09
98,Kapaa,US,2020-02-24 01:07:35,22.08,-159.32,80.6,61,40,8.05
99,Fortuna,US,2020-02-24 01:07:36,40.6,-124.16,53.01,93,75,10.29
100,Kholtoson,RU,2020-02-24 01:07:36,50.3,103.31,8.01,92,100,2.35
101,Viedma,AR,2020-02-24 01:07:36,-40.81,-63.0,81.34,31,0,12.19
102,Malpe,IN,2020-02-24 01:07:37,13.35,74.72,77.0,83,100,4.7
103,Susanville,US,2020-02-24 01:07:37,40.42,-120.65,57.2,28,1,11.41
104,Vaini,TO,2020-02-24 01:07:37,-21.2,-175.2,84.2,83,40,9.17
105,Jamestown,US,2020-02-24 01:04:14,42.1,-79.24,46.4,28,75,9.17
106,Kapuskasing,CA,2020-02-24 01:07:38,49.42,-82.43,33.8,86,90,3.36
107,Altamira,BR,2020-02-24 01:07:38,-3.2,-52.21,75.07,95,100,0.27
108,Avarua,CK,2020-02-24 01:06:22,-21.21,-159.78,78.8,94,100,8.05
109,Tasiilaq,GL,2020-02-24 01:07:38,65.61,-37.64,12.2,56,44,5.82
110,Yeniseysk,RU,2020-02-24 01:06:25,58.45,92.17,4.41,95,68,3.27
111,Haines Junction,CA,2020-02-24 01:07:38,60.75,-137.51,10.9,91,100,4.56
112,Nouakchott,MR,2020-02-24 01:06:35,18.09,-15.98,73.4,60,100,4.7
113,Caravelas,BR,2020-02-24 01:07:39,-17.71,-39.25,79.86,84,100,13.29
114,Moerai,PF,2020-02-24 01:07:39,-22.43,-151.33,81.5,64,56,6.91
115,Leh,IN,2020-02-24 01:07:36,34.17,77.58,-7.58,59,0,3.24
116,Klaksvik,FO,2020-02-24 01:07:40,62.23,-6.59,37.4,74,10,19.46
117,Sete Lagoas,BR,2020-02-24 01:07:40,-19.47,-44.25,71.6,88,75,12.75
118,Cherskiy,RU,2020-02-24 01:07:40,68.75,161.3,-22.4,86,49,5.08
119,Nikolskoye,RU,2020-02-24 01:07:40,59.7,30.79,35.6,93,90,11.18
120,Kirkland Lake,CA,2020-02-24 01:07:41,48.14,-80.04,39.2,64,90,26.4
121,Sept-Iles,CA,2020-02-24 01:06:55,50.2,-66.38,28.0,92,40,3.36
122,Pobe,BJ,2020-02-24 01:07:41,6.98,2.66,77.38,96,1,4.38
123,Kodiak,US,2020-02-24 01:07:41,57.79,-152.41,26.6,35,1,13.87
124,Vestmannaeyjar,IS,2020-02-24 01:07:41,63.44,-20.27,40.21,72,100,28.92
125,Airai,TL,2020-02-24 01:07:41,-8.93,125.41,76.05,69,5,1.83
126,Mount Gambier,AU,2020-02-24 01:07:42,-37.83,140.77,68.0,72,90,10.29
127,Ribeira Grande,PT,2020-02-24 01:07:42,38.52,-28.7,56.35,82,30,6.98
128,Matagami,CA,2020-02-24 01:07:42,49.75,-77.63,33.8,74,90,14.99
129,Davila,PH,2020-02-24 01:07:42,18.47,120.58,78.8,74,75,1.12
130,Vagur,FO,2020-02-24 01:07:43,61.47,-6.81,41.36,58,9,21.56
131,Puerto Lopez,CO,2020-02-24 01:07:43,4.08,-72.96,84.07,52,51,2.86
132,Prince Rupert,CA,2020-02-24 01:07:41,54.32,-130.32,33.8,98,90,17.22
133,Gijon,ES,2020-02-24 01:06:06,43.54,-5.66,50.0,100,90,2.24
134,Naryan-Mar,RU,2020-02-24 01:07:43,67.67,53.09,29.05,86,79,27.18
135,Saskylakh,RU,2020-02-24 01:07:44,71.92,114.08,7.02,92,97,9.1
136,Baracoa,CU,2020-02-24 01:07:44,20.35,-74.5,75.52,78,32,19.84
137,Carnarvon,AU,2020-02-24 01:07:44,-24.87,113.63,78.8,74,0,4.7
138,Katsuura,JP,2020-02-24 01:07:44,35.13,140.3,54.0,40,75,9.17
139,Port Alfred,ZA,2020-02-24 01:07:44,-33.59,26.89,60.01,83,20,0.58
140,Pisco,PE,2020-02-24 01:07:45,-13.7,-76.22,77.0,73,75,11.41
141,Cockburn Town,TC,2020-02-24 01:07:45,21.46,-71.14,73.94,72,21,21.81
142,Mongar,BT,2020-02-24 01:07:45,27.27,91.24,28.26,87,17,4.12
143,Carutapera,BR,2020-02-24 01:06:09,-1.2,-46.02,82.15,82,62,14.54
144,Hailar,CN,2020-02-24 01:07:45,49.2,119.7,2.01,93,0,6.26
145,Faanui,PF,2020-02-24 01:07:46,-16.48,-151.75,83.44,69,12,11.12
146,Poum,NC,2020-02-24 01:07:46,-20.23,164.02,80.47,78,50,20.94
147,Mogadishu,SO,2020-02-24 01:07:46,2.04,45.34,79.97,81,7,25.5
148,Pringsewu,ID,2020-02-24 01:07:46,-5.36,104.97,71.85,93,1,5.01
149,Bocaiuva,BR,2020-02-24 01:04:31,-17.11,-43.81,77.0,69,100,5.08
150,Crotone,IT,2020-02-24 01:07:47,39.09,17.12,46.4,70,89,5.82
151,Sorong,ID,2020-02-24 01:07:30,-0.88,131.25,84.65,73,100,1.86
152,Presidencia Roque Saenz Pena,AR,2020-02-24 01:07:47,-26.79,-60.44,65.14,62,19,0.51
153,Aklavik,CA,2020-02-24 01:07:47,68.22,-135.01,-4.0,76,75,4.7
154,Gushi,CN,2020-02-24 01:07:47,34.64,109.58,47.82,64,26,4.72
155,Sao Filipe,CV,2020-02-24 01:07:48,14.9,-24.5,68.67,82,39,8.63
156,Hualmay,PE,2020-02-24 01:07:48,-11.1,-77.61,75.36,67,84,5.55
157,San Quintin,MX,2020-02-24 01:07:48,30.48,-115.95,59.22,74,3,19.01
158,Norman Wells,CA,2020-02-24 01:07:48,65.28,-126.83,6.8,77,75,8.05
159,Hinton,CA,2020-02-24 01:07:48,53.4,-117.59,23.56,88,98,3.11
160,Imbituba,BR,2020-02-24 01:04:14,-28.24,-48.67,69.8,83,75,1.12
161,Inyonga,TZ,2020-02-24 01:07:49,-6.72,32.07,67.6,93,100,1.48
162,Tessaoua,NE,2020-02-24 01:07:49,13.76,7.99,70.95,14,0,15.59
163,Miraflores,MX,2020-02-24 01:07:49,19.22,-98.81,87.8,23,40,11.41
164,Esperance,AU,2020-02-24 01:03:46,-33.87,121.9,69.8,77,90,14.99
165,Saurimo,AO,2020-02-24 01:07:50,-9.66,20.39,66.79,97,100,3.29
166,Ayan,RU,2020-02-24 01:07:50,56.45,138.17,4.59,77,6,4.38
167,San Jeronimo,PE,2020-02-24 01:07:50,-11.95,-75.28,46.51,84,85,2.17
168,Copiapo,CL,2020-02-24 01:07:50,-27.37,-70.33,64.4,77,75,10.29
169,Hofn,IS,2020-02-24 01:07:51,64.25,-15.21,40.53,65,89,23.53
170,Roma,US,2020-02-24 01:05:42,43.21,-75.46,39.99,59,1,3.36
171,Narsaq,GL,2020-02-24 01:03:04,60.92,-46.05,23.0,62,100,14.99
172,Macae,BR,2020-02-24 01:03:27,-22.37,-41.79,71.6,94,75,3.36
173,Ostrovnoy,RU,2020-02-24 01:07:51,68.05,39.51,27.5,92,100,12.93
174,Iqaluit,CA,2020-02-24 01:07:52,63.75,-68.51,-27.0,60,20,9.17
175,Weiser,US,2020-02-24 01:07:52,44.25,-116.97,57.0,65,90,29.97
176,Portland,US,2020-02-24 01:05:36,45.52,-122.68,48.2,81,90,9.17
177,Gaoua,BF,2020-02-24 01:07:52,10.3,-3.25,81.48,18,13,6.38
178,Hailey,US,2020-02-24 01:07:52,43.52,-114.32,39.2,64,5,9.17
179,Rafraf,TN,2020-02-24 01:02:57,37.19,10.18,50.0,93,20,4.7
180,Tamboril,DO,2020-02-24 01:07:53,19.49,-70.61,75.99,94,90,4.7
181,Luderitz,NA,2020-02-24 01:07:53,-26.65,15.16,69.21,63,0,16.44
182,Hasaki,JP,2020-02-24 01:07:53,35.73,140.83,54.0,43,20,8.05
183,Dongsheng,CN,2020-02-24 01:07:53,39.82,109.98,34.02,67,100,4.63
184,Saldanha,ZA,2020-02-24 01:07:54,-33.01,17.94,66.2,52,0,8.05
185,Lebedinyy,RU,2020-02-24 01:07:54,58.52,125.52,6.28,96,100,11.27
186,Torbay,CA,2020-02-24 01:06:56,47.67,-52.73,30.99,79,20,18.34
187,Touros,BR,2020-02-24 01:03:38,-5.2,-35.46,80.6,83,40,6.93
188,Kang,BW,2020-02-24 01:07:54,-23.68,22.79,68.36,83,100,7.78
189,Vestmanna,FO,2020-02-24 01:07:55,62.16,-7.17,37.4,74,8,19.46
190,Aksu,CN,2020-02-24 01:07:55,41.12,80.26,35.15,48,100,2.15
191,Dunedin,NZ,2020-02-24 01:07:55,-45.87,170.5,66.0,65,52,14.0
192,Zelenets,RU,2020-02-24 01:07:55,61.88,50.75,30.2,92,90,17.9
193,Nosy Varika,MG,2020-02-24 01:07:55,-20.58,48.53,74.16,95,100,5.26
194,Korla,CN,2020-02-24 01:07:56,41.76,86.15,28.65,43,100,6.38
195,Nyimba,ZM,2020-02-24 01:07:56,-14.56,30.81,69.91,95,92,3.13
196,Lorengau,PG,2020-02-24 01:07:56,-2.02,147.27,83.28,72,63,3.22
197,Daru,PG,2020-02-24 01:07:56,-9.08,143.21,86.09,67,100,7.83
198,Ballina,AU,2020-02-24 01:07:56,-28.87,153.57,71.6,88,75,5.82
199,Olga,RU,2020-02-24 01:07:57,43.74,135.29,28.78,68,68,8.12
200,Roebourne,AU,2020-02-24 01:07:57,-20.78,117.13,84.69,52,1,11.45
201,Nikki,BJ,2020-02-24 01:07:57,9.94,3.21,77.04,14,0,6.55
202,Yumen,CN,2020-02-24 01:07:57,40.28,97.2,25.56,53,0,8.37
203,Linhares,BR,2020-02-24 01:07:57,-19.39,-40.07,72.3,82,94,7.27
204,Veraval,IN,2020-02-24 01:07:58,20.9,70.37,69.33,38,20,11.59
205,Provideniya,RU,2020-02-24 01:07:58,64.38,-173.3,-2.22,69,0,0.6
206,Awbari,LY,2020-02-24 01:07:58,26.59,12.78,49.48,42,0,7.11
207,Elliot Lake,CA,2020-02-24 01:07:58,46.38,-82.63,35.6,94,1,8.05
208,New Norfolk,AU,2020-02-24 01:07:58,-42.78,147.06,71.01,59,75,4.7
209,Eleousa,GR,2020-02-24 01:07:59,39.71,20.79,39.0,86,36,1.12
210,Teahupoo,PF,2020-02-24 01:07:59,-17.83,-149.27,84.2,74,75,14.99
211,Ust-Maya,RU,2020-02-24 01:07:59,60.42,134.53,-5.49,98,96,2.08
212,Moyale,KE,2020-02-24 01:07:59,3.52,39.06,77.32,19,82,17.72
213,Lerwick,GB,2020-02-24 01:07:59,60.15,-1.15,41.0,75,63,20.8
214,Kozhva,RU,2020-02-24 01:08:00,65.11,57.05,28.27,89,100,15.5
215,Juli,PE,2020-02-24 01:08:00,-16.22,-69.45,49.08,86,82,11.83
216,Merauke,ID,2020-02-24 01:08:00,-8.47,140.33,83.41,82,92,9.33
